setup_type,time,entry_price,stop_loss,take_profit,outcome_6,initiation_date,ticker
SHORT,21-03-2022 08:00,2091.449951,2239,1982,TP,28-02-2022,ABB
LONG,04-06-2024 04:00,1012.849975,970.5,1150.1,TP,06-05-2024,ADANIENSOL
SHORT,22-08-2023 04:00,959.599975,983.5899744,825,TP,22-05-2023,ADANIENSOL
SHORT,23-05-2024 00:00,3165.050048,3244.176299,3025,SL,22-04-2024,ADANIENT
SHORT,30-10-2024 08:00,2969.300048,3211,2672.1,TP,07-10-2024,ADANIENT
LONG,07-08-2023 08:00,965.900024,938.45,1020,SL,03-07-2023,ADANIGREEN
SHORT,30-11-2023 04:00,1015.200012,1040.580012,935.65,TP,18-09-2023,ADANIGREEN
SHORT,04-08-2025 04:00,988.849975,1054.9,903.5,TP,14-07-2025,ADANIGREEN
LONG,17-02-2021 04:00,54.299999,48.5,59.1,TP,25-01-2021,ADANIPOWER
LONG,14-02-2022 08:00,112.800003,98,137.7,TP,24-01-2022,ADANIPOWER
LONG,28-08-2025 04:00,562.450012,528.45,596.85,SL,16-06-2025,AMBUJACEM
SHORT,28-02-2022 04:00,4750,4868.75,4358.05,SL,31-01-2022,APOLLOHOSP
SHORT,25-07-2022 04:00,4153.100097,4903.65,3530,TP,18-04-2022,APOLLOHOSP
LONG,27-10-2020 08:00,2176.199951,2121.794952,2358,TP,04-05-2020,DMART
LONG,01-10-2024 08:00,4954.350097,4830.491345,5155.55,TP,19-08-2024,DMART
LONG,08-07-2025 08:00,4213,3928.9,4495.5,TP,09-06-2025,DMART
SHORT,11-07-2022 00:00,3970.300048,4244,3906,TP,04-04-2022,DMART
LONG,16-09-2022 04:00,3695,3601.1,3919,SLTP,27-06-2022,BAJAJ-AUTO
LONG,10-01-2025 08:00,10827.84961,10557.15337,11524,SL,16-12-2024,BAJAJHLDNG
LONG,01-04-2025 08:00,11911.4502,11283.8,12899.95,SL,10-03-2025,BAJAJHLDNG
SHORT,10-03-2022 00:00,5002,5380,4752.05,TP,14-02-2022,BAJAJHLDNG
LONG,10-07-2024 00:00,257.649993,248.35,273.4,TP,06-05-2024,BANKBARODA
SHORT,27-06-2022 04:00,100.599998,105.45,89.85,SL,06-06-2022,BANKBARODA
SHORT,10-02-2023 04:00,170.75,187.7,156.1,SL,09-01-2023,BANKBARODA
LONG,12-10-2020 04:00,343.850006,291.8,402.06,TP,18-05-2020,BPCL
LONG,25-01-2021 04:00,387.5,357,430,TP,21-12-2020,BPCL
LONG,08-08-2022 04:00,324.75,304.16,341.5,TP,11-07-2022,BPCL
LONG,09-05-2024 08:00,592.150024,564.2,635.2,TP,15-04-2024,BPCL
SHORT,11-11-2020 08:00,393.950012,436,347.5,TP,07-09-2020,BPCL
SHORT,23-01-2024 04:00,456.700012,488,414.3,TP,01-01-2024,CGPOWER
LONG,13-01-2025 08:00,88.519996,84.35,95.3,TP,26-10-2020,CANBK
SHORT,17-09-2025 00:00,1587.400024,1627.085025,1489.6,SL,14-07-2025,CHOLAFIN
LONG,18-02-2022 00:00,908.599975,860,977.35,TP,17-01-2022,CIPLA
SHORT,31-01-2025 04:00,1482.650024,1547.85,1408,TP,30-12-2024,CIPLA
LONG,06-01-2025 04:00,503,490.425,529,TP,16-12-2024,DABUR
SHORT,19-08-2022 04:00,591.150024,611.9,574.3,SL,15-11-2021,DABUR
LONG,06-05-2022 04:00,4177,4063,4519.9,SL,28-02-2022,DIVISLAB
LONG,26-07-2022 04:00,4206.450195,4066.05,4467.5,TP,13-06-2022,DRREDDY
SHORT,22-12-2021 08:00,4644.649902,4820,4441.3,SL,22-11-2021,DRREDDY
SHORT,18-01-2023 04:00,4355.299804,4527.6,4201,SL,12-12-2022,DRREDDY
LONG,13-01-2025 04:00,4950.850097,4673.6,5350,TP,16-12-2024,EICHERMOT
SHORT,18-05-2021 08:00,2568.449951,2653.7,2378,SL,30-03-2021,EICHERMOT
LONG,21-10-2021 08:00,150.300003,144,159.75,SL,06-09-2021,GAIL
LONG,22-02-2022 08:00,782,687.5,857.2,TP,26-04-2021,GODREJCP
SHORT,13-12-2023 00:00,694.099975,711.4524744,680.25,TP,29-11-2021,HDFCLIFE
SHORT,22-07-2025 08:00,1578.599975,1618.064974,1513,TP,30-06-2025,HAVELLS
LONG,18-01-2021 04:00,3162,2900.6,3318,TP,21-12-2020,HEROMOTOCO
SHORT,17-01-2022 00:00,2714,2781.85,2411.65,TP,06-12-2021,HEROMOTOCO
LONG,17-08-2021 04:00,1063.25,1036.66875,1134.5,SL,12-07-2021,HAL
LONG,13-11-2023 04:00,2483.199951,2421.119952,2533.5,TP,23-10-2023,HINDUNILVR
SHORT,12-05-2023 08:00,2622,2687.55,2555.35,TP,30-01-2023,HINDUNILVR
SHORT,04-12-2023 00:00,971.200012,997.5,925,TP,11-09-2023,ICICIBANK
LONG,22-08-2022 08:00,1260.650024,1190,1369,SL,01-08-2022,ICICIGI
LONG,07-05-2025 00:00,1795.599975,1702,1895,TP,07-04-2025,ICICIGI
SHORT,05-05-2021 00:00,1455.199951,1491.57995,1401.1,SL,30-03-2021,ICICIGI
SHORT,21-11-2023 04:00,1464.949951,1501.5737,1404.95,SL,29-11-2021,ICICIGI
SHORT,13-10-2023 04:00,1316.949951,1385,1266,SL,11-09-2023,ICICIGI
SHORT,07-07-2022 04:00,518.049987,567.95,474.55,TP,06-06-2022,ICICIPRULI
LONG,24-02-2022 08:00,194.300003,189.4425029,214,SL,17-01-2022,INDHOTEL
LONG,14-03-2023 00:00,309.450012,298.2,324.2,TP,20-02-2023,INDHOTEL
LONG,22-09-2023 00:00,405.450012,376.9,436.45,TP,14-08-2023,INDHOTEL
LONG,29-08-2025 00:00,768.049987,732.8,795.65,TP,04-08-2025,INDHOTEL
SHORT,12-01-2022 08:00,208.699996,213.9174959,186.3,TP,06-12-2021,INDHOTEL
SHORT,07-11-2023 00:00,401.799987,424.75,371.6,TP,03-10-2023,INDHOTEL
SHORT,17-07-2025 04:00,754,786.9,724.75,TP,23-06-2025,INDHOTEL
SHORT,04-12-2020 04:00,90,92.25,85.155,TP,17-08-2020,IOC
LONG,08-11-2021 04:00,1071.050048,984.15,1186.5,SL,06-09-2021,INDUSINDBK
SHORT,11-05-2023 04:00,1191.599975,1238.2,1106,SL,09-01-2023,INDUSINDBK
LONG,26-09-2022 04:00,3770.850097,3606,3990,SL,27-06-2022,NAUKRI
SHORT,11-07-2022 04:00,1695.449951,1838.5,1511.75,SL,06-06-2022,INDIGO
SHORT,18-03-2024 08:00,804.400024,839.7,761.75,SL,26-02-2024,JSWSTEEL
LONG,12-10-2020 08:00,1312.699951,1267,1367.4,TP,13-07-2020,KOTAKBANK
SHORT,14-09-2021 08:00,1864.949951,1999.35,1742.6,TP,08-03-2021,KOTAKBANK
SHORT,13-12-2022 00:00,4334,4442.35,3570,TP,01-02-2021,LTIM
SHORT,02-05-2023 04:00,4556.75,4848,4148.2,TP,03-04-2023,LTIM
LONG,07-10-2024 04:00,934.5,911.1375,1028.3,TP,24-06-2024,LICI
LONG,12-07-2022 08:00,1108.550048,985.3,1140,TP,20-06-2022,LODHA
LONG,28-11-2023 00:00,887.049987,864.8737373,1017.5,TP,02-05-2023,LODHA
LONG,13-03-2024 00:00,1083.699951,1010.8,1233.95,TP,12-02-2024,LODHA
SHORT,19-01-2023 08:00,1109.25,1136.98125,1082.06,TP,05-09-2022,LODHA
LONG,27-02-2023 04:00,1255.050048,1208,1337,TP,19-12-2022,M&M
SHORT,18-05-2021 08:00,797.049987,837.85,731.1,TP,12-04-2021,M&M
LONG,01-12-2020 04:00,7106.299804,6753.1,7882.65,TP,09-11-2020,MARUTI
LONG,01-08-2025 04:00,237.899993,231.9524932,247.13,TP,26-05-2025,ONGC
LONG,15-03-2021 04:00,1712,1669.2,1761.4,TP,22-02-2021,PIDILITIND
SHORT,12-10-2020 04:00,1478.550048,1532.95,1373.6,TP,01-06-2020,PIDILITIND
LONG,04-06-2024 08:00,426.75,407.7,458.85,SL,06-05-2024,PFC
LONG,12-10-2020 04:00,161.149993,151.0756,175.7156,TP,18-05-2020,POWERGRID
SHORT,19-12-2022 04:00,218.350006,224.9467,210.4533,TP,28-11-2022,POWERGRID
SHORT,30-08-2021 04:00,150.399993,160.5067,139.2533,TP,02-08-2021,RECLTD
SHORT,22-06-2022 00:00,2534.300048,2597.657549,2219.72,TP,30-05-2022,RELIANCE
LONG,28-07-2021 04:00,27500,26812.5,28555,TP,28-06-2021,SHREECEM
LONG,18-01-2023 04:00,24027.15039,23055.4,24773,TP,26-12-2022,SHREECEM
LONG,06-03-2024 04:00,24545.09961,23451,26049.2,TP,14-08-2023,SHREECEM
SHORT,18-01-2022 00:00,27248.69922,29818.9,25198.25,TP,08-11-2021,SHREECEM
LONG,06-03-2025 04:00,643.400024,627.3150234,783.7,TP,03-08-2020,SHRIRAMFIN
LONG,20-12-2022 04:00,1369.5,1272.1,1514.4,TP,03-05-2021,SHRIRAMFIN
LONG,20-12-2022 04:00,1369.5,1273.3,1558.8,TP,27-09-2021,SHRIRAMFIN
SHORT,21-12-2022 00:00,1404,1439.1,1310.2,SL,26-07-2021,SHRIRAMFIN
SHORT,04-11-2020 04:00,513.400024,529.3,452.25,TP,05-10-2020,SUNPHARMA
LONG,26-09-2022 04:00,399.149993,389.1712432,441.75,TP,27-06-2022,TATAMOTORS
LONG,11-09-2024 04:00,973.299987,948.9674873,1029.8,TP,15-07-2024,TATAMOTORS
SHORT,18-08-2025 00:00,678.400024,706.5,627.1,TP,21-07-2025,TATAMOTORS
LONG,09-12-2022 04:00,1034.099975,1005.25,1116.3,TP,07-11-2022,TECHM
LONG,27-07-2023 04:00,1112.5,1060.1,1132.5,TP,05-06-2023,TECHM
LONG,10-02-2025 08:00,3327.449951,3244.263702,3447.65,TP,13-01-2025,TITAN
SHORT,23-05-2022 04:00,2665,2837.26,2484.14,SL,25-04-2022,TORNTPHARM
LONG,16-11-2022 04:00,1400.300048,1365.292547,1447.7,TP,10-10-2022,TRENT
SHORT,20-04-2023 04:00,1392.400024,1427.210025,1281.5,SL,26-12-2022,TRENT
SHORT,31-03-2023 04:00,7639,7829.975,7294.1,TP,31-01-2022,ULTRACEMCO
LONG,08-01-2025 04:00,609.099975,565,645,TP,11-11-2024,VBL
SHORT,09-09-2024 04:00,1515.050048,1609.45,635.25,TP,19-08-2024,VBL
LONG,28-10-2021 04:00,304.200012,283.15,342.45,SL,27-09-2021,VEDL
LONG,28-10-2024 04:00,558.950012,520.3,578.76,TP,07-10-2024,WIPRO
LONG,02-09-2022 04:00,371.899993,340,401.75,TP,25-07-2022,ZYDUSLIFE
