Company Name,Symbol,Security Code
360 ONE WAM Ltd.,360ONE,542772
3M India Ltd.,3MINDIA,523395
ABB India Ltd.,ABB,500002
ACC Ltd.,ACC,500410
ACME Solar Holdings Ltd.,ACMESOLAR,544283
AIA Engineering Ltd.,AIAENG,532683
APL Apollo Tubes Ltd.,APLAPOLLO,533758
AU Small Finance Bank Ltd.,AUBANK,540611
AWL Agri Business Ltd.,AWL,543458
Aadhar Housing Finance Ltd.,AADHARHFC,544176
Aarti Industries Ltd.,AARTIIND,524208
Aavas Financiers Ltd.,AAVAS,541988
Abbott India Ltd.,ABBOTINDIA,500488
Action Construction Equipment Ltd.,ACE,532762
Adani Energy Solutions Ltd.,ADANIENSOL,539254
Adani Enterprises Ltd.,ADANIENT,512599
Adani Green Energy Ltd.,ADANIGREEN,541450
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,532921
Adani Power Ltd.,ADANIPOWER,533096
Adani Total Gas Ltd.,ATGL,542066
Aditya Birla Capital Ltd.,ABCAPITAL,540691
Aditya Birla Fashion and Retail Ltd.,ABFRL,535755
Aditya Birla Real Estate Ltd.,ABREL,500040
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,543374
Aegis Logistics Ltd.,AEGISLOG,500003
Afcons Infrastructure Ltd.,AFCONS,544280
Affle 3i Ltd.,AFFLE,542752
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,532331
Akums Drugs and Pharmaceuticals Ltd.,AKUMS,544222
Alembic Pharmaceuticals Ltd.,APLLTD,533573
Alivus Life Sciences Ltd.,ALIVUS,543322
Alkem Laboratories Ltd.,ALKEM,539523
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,506767
Alok Industries Ltd.,ALOKINDS,521070
Amara Raja Energy & Mobility Ltd.,ARE&M,500008
Amber Enterprises India Ltd.,AMBER,540902
Ambuja Cements Ltd.,AMBUJACEM,500425
Anand Rathi Wealth Ltd.,ANANDRATHI,543415
Anant Raj Ltd.,ANANTRAJ,515055
Angel One Ltd.,ANGELONE,543235
Apar Industries Ltd.,APARINDS,523377
Apar Industries Ltd.,APARINDS,532259
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,508869
Apollo Tyres Ltd.,APOLLOTYRE,500877
Aptus Value Housing Finance India Ltd.,APTUS,543335
Asahi India Glass Ltd.,ASAHIINDIA,515030
Ashok Leyland Ltd.,ASHOKLEY,500477
Asian Paints Ltd.,ASIANPAINT,500820
Aster DM Healthcare Ltd.,ASTERDM,540975
AstraZenca Pharma India Ltd.,ASTRAZEN,506820
Astral Ltd.,ASTRAL,532830
Atul Ltd.,ATUL,500027
Atul Ltd.,ATUL,544024
Aurobindo Pharma Ltd.,AUROPHARMA,524804
Authum Investment & Infrastructure Ltd.,AIIL,539177
Avenue Supermarts Ltd.,DMART,540376
Axis Bank Ltd.,AXISBANK,532215
BASF India Ltd.,BASF,500042
BEML Ltd.,BEML,500048
BLS International Services Ltd.,BLS,540073
Bajaj Auto Ltd.,BAJAJ-AUTO,532977
Bajaj Finance Ltd.,BAJFINANCE,500034
Bajaj Finserv Ltd.,BAJAJFINSV,532978
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,500490
Bajaj Housing Finance Ltd.,BAJAJHFL,544252
Balkrishna Industries Ltd.,BALKRISIND,502355
Balrampur Chini Mills Ltd.,BALRAMCHIN,500038
Bandhan Bank Ltd.,BANDHANBNK,541153
Bank of Baroda,BANKBARODA,532134
Bank of India,BANKINDIA,532149
Bank of Maharashtra,MAHABANK,532525
Bata India Ltd.,BATAINDIA,500043
Bayer Cropscience Ltd.,BAYERCROP,506285
Berger Paints India Ltd.,BERGEPAINT,509480
Bharat Dynamics Ltd.,BDL,541143
Bharat Electronics Ltd.,BEL,500049
Bharat Forge Ltd.,BHARATFORG,500493
Bharat Heavy Electricals Ltd.,BHEL,500103
Bharat Petroleum Corporation Ltd.,BPCL,500547
Bharti Airtel Ltd.,BHARTIARTL,532454
Bharti Hexacom Ltd.,BHARTIHEXA,544162
Bikaji Foods International Ltd.,BIKAJI,543653
Biocon Ltd.,BIOCON,532523
Birlasoft Ltd.,BSOFT,532400
Blue Dart Express Ltd.,BLUEDART,526612
Blue Star Ltd.,BLUESTARCO,500067
Bombay Burmah Trading Corporation Ltd.,BBTC,501425
Bosch Ltd.,BOSCHLTD,500530
Brainbees Solutions Ltd.,FIRSTCRY,544226
Brigade Enterprises Ltd.,BRIGADE,532929
Britannia Industries Ltd.,BRITANNIA,500825
C.E. Info Systems Ltd.,MAPMYINDIA,543425
CCL Products (I) Ltd.,CCL,519600
CESC Ltd.,CESC,500084
CG Power and Industrial Solutions Ltd.,CGPOWER,500093
CRISIL Ltd.,CRISIL,500092
Campus Activewear Ltd.,CAMPUS,543523
Can Fin Homes Ltd.,CANFINHOME,511196
Canara Bank,CANBK,532483
Caplin Point Laboratories Ltd.,CAPLIPOINT,524742
Capri Global Capital Ltd.,CGCL,531595
Carborundum Universal Ltd.,CARBORUNIV,513375
Castrol India Ltd.,CASTROLIND,500870
Ceat Ltd.,CEATLTD,500878
Central Bank of India,CENTRALBK,532885
Century Plyboards (India) Ltd.,CENTURYPLY,532548
Cera Sanitaryware Ltd,CERA,532443
Chalet Hotels Ltd.,CHALET,542399
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,500085
Chennai Petroleum Corporation Ltd.,CHENNPETRO,500110
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,504973
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,511243
Cipla Ltd.,CIPLA,500087
City Union Bank Ltd.,CUB,532210
Clean Science and Technology Ltd.,CLEAN,543318
Coal India Ltd.,COALINDIA,533278
Cochin Shipyard Ltd.,COCHINSHIP,540678
Coforge Ltd.,COFORGE,532541
Cohance Lifesciences Ltd.,COHANCE,543064
Colgate Palmolive (India) Ltd.,COLPAL,500830
Computer Age Management Services Ltd.,CAMS,543232
Concord Biotech Ltd.,CONCORDBIO,543960
Container Corporation of India Ltd.,CONCOR,531344
Coromandel International Ltd.,COROMANDEL,506395
Craftsman Automation Ltd.,CRAFTSMAN,543276
CreditAccess Grameen Ltd.,CREDITACC,541770
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,539876
Cummins India Ltd.,CUMMINSIND,500480
Cyient Ltd.,CYIENT,532175
DCM Shriram Ltd.,DCMSHRIRAM,523367
DLF Ltd.,DLF,532868
DOMS Industries Ltd.,DOMS,544045
Dabur India Ltd.,DABUR,500096
Dalmia Bharat Ltd.,DALBHARAT,542216
Data Patterns (India) Ltd.,DATAPATTNS,543428
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,500645
Deepak Nitrite Ltd.,DEEPAKNTR,506401
Delhivery Ltd.,DELHIVERY,543529
Devyani International Ltd.,DEVYANI,543330
Divi's Laboratories Ltd.,DIVISLAB,532488
Dixon Technologies (India) Ltd.,DIXON,540699
Dr. Lal Path Labs Ltd.,LALPATHLAB,539524
Dr. Reddy's Laboratories Ltd.,DRREDDY,500124
E.I.D. Parry (India) Ltd.,EIDPARRY,500125
EIH Ltd.,EIHOTEL,500840
Eicher Motors Ltd.,EICHERMOT,505200
Elecon Engineering Co. Ltd.,ELECON,505700
Elgi Equipments Ltd.,ELGIEQUIP,522074
Emami Ltd.,EMAMILTD,531162
Emami Ltd.,EMAMILTD,543894
Emcure Pharmaceuticals Ltd.,EMCURE,544210
Endurance Technologies Ltd.,ENDURANCE,540153
Engineers India Ltd.,ENGINERSIN,532178
Eris Lifesciences Ltd.,ERIS,540596
Escorts Kubota Ltd.,ESCORTS,500495
Eternal Ltd.,ETERNAL,543320
Exide Industries Ltd.,EXIDEIND,500086
FSN E-Commerce Ventures Ltd.,NYKAA,543384
Federal Bank Ltd.,FEDERALBNK,500469
Fertilisers and Chemicals Travancore Ltd.,FACT,524244
Fertilisers and Chemicals Travancore Ltd.,FACT,590024
Finolex Cables Ltd.,FINCABLES,500144
Finolex Industries Ltd.,FINPIPE,500940
Firstsource Solutions Ltd.,FSL,532809
Five-Star Business Finance Ltd.,FIVESTAR,543663
Fortis Healthcare Ltd.,FORTIS,532843
GAIL (India) Ltd.,GAIL,532155
GE Vernova T&D India Ltd.,GVT&D,522275
GMR Airports Ltd.,GMRAIRPORT,532754
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,542011
General Insurance Corporation of India,GICRE,540755
Gillette India Ltd.,GILLETTE,507815
Gland Pharma Ltd.,GLAND,543245
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,500660
Glenmark Pharmaceuticals Ltd.,GLENMARK,532296
Global Health Ltd.,MEDANTA,543654
Go Digit General Insurance Ltd.,GODIGIT,544179
Godawari Power & Ispat Ltd.,GPIL,532734
Godfrey Phillips India Ltd.,GODFRYPHLP,500163
Godrej Agrovet Ltd.,GODREJAGRO,540743
Godrej Consumer Products Ltd.,GODREJCP,532424
Godrej Industries Ltd.,GODREJIND,500164
Godrej Properties Ltd.,GODREJPROP,533150
Granules India Ltd.,GRANULES,532482
Graphite India Ltd.,GRAPHITE,509488
Grasim Industries Ltd.,GRASIM,500300
Gravita India Ltd.,GRAVITA,533282
Great Eastern Shipping Co. Ltd.,GESHIP,500620
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,542812
Gujarat Gas Ltd.,GUJGASLTD,539336
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,532181
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,500670
Gujarat Pipavav Port Ltd.,GPPL,533248
Gujarat State Petronet Ltd.,GSPL,532702
H.E.G. Ltd.,HEG,509631
HBL Engineering Ltd.,HBLENGINE,517271
HCL Technologies Ltd.,HCLTECH,532281
HDFC Asset Management Company Ltd.,HDFCAMC,541729
HDFC Bank Ltd.,HDFCBANK,500180
HDFC Life Insurance Company Ltd.,HDFCLIFE,540777
HFCL Ltd.,HFCL,500183
Happiest Minds Technologies Ltd.,HAPPSTMNDS,543227
Havells India Ltd.,HAVELLS,517354
Hero MotoCorp Ltd.,HEROMOTOCO,500182
Himadri Speciality Chemical Ltd.,HSCL,500184
Hindalco Industries Ltd.,HINDALCO,500440
Hindustan Aeronautics Ltd.,HAL,541154
Hindustan Copper Ltd.,HINDCOPPER,513599
Hindustan Petroleum Corporation Ltd.,HINDPETRO,500104
Hindustan Unilever Ltd.,HINDUNILVR,500696
Hindustan Zinc Ltd.,HINDZINC,500188
Hitachi Energy India Ltd.,POWERINDIA,543187
Home First Finance Company India Ltd.,HOMEFIRST,543259
Honasa Consumer Ltd.,HONASA,544014
Honeywell Automation India Ltd.,HONAUT,517174
Housing & Urban Development Corporation Ltd.,HUDCO,540530
Hyundai Motor India Ltd.,HYUNDAI,544274
ICICI Bank Ltd.,ICICIBANK,532174
ICICI Lombard General Insurance Company Ltd.,ICICIGI,540716
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,540133
IDBI Bank Ltd.,IDBI,500116
IDFC First Bank Ltd.,IDFCFIRSTB,539437
IFCI Ltd.,IFCI,500106
IIFL Finance Ltd.,IIFL,532636
INOX India Ltd.,INOXINDIA,544046
IRB Infrastructure Developers Ltd.,IRB,532947
IRCON International Ltd.,IRCON,541956
ITC Ltd.,ITC,500875
ITI Ltd.,ITI,523610
Indegene Ltd.,INDGN,544172
India Cements Ltd.,INDIACEM,530005
Indiamart Intermesh Ltd.,INDIAMART,542726
Indian Bank,INDIANB,532814
Indian Energy Exchange Ltd.,IEX,540750
Indian Hotels Co. Ltd.,INDHOTEL,500850
Indian Oil Corporation Ltd.,IOC,530965
Indian Overseas Bank,IOB,532388
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,542830
Indian Railway Finance Corporation Ltd.,IRFC,543257
Indian Renewable Energy Development Agency Ltd.,IREDA,544026
Indraprastha Gas Ltd.,IGL,532514
Indus Towers Ltd.,INDUSTOWER,534816
IndusInd Bank Ltd.,INDUSINDBK,532187
Info Edge (India) Ltd.,NAUKRI,532777
Infosys Ltd.,INFY,500209
Inox Wind Ltd.,INOXWIND,539083
Intellect Design Arena Ltd.,INTELLECT,538835
InterGlobe Aviation Ltd.,INDIGO,539448
International Gemmological Institute (India) Ltd.,IGIL,544311
Inventurus Knowledge Solutions Ltd.,IKS,544309
Ipca Laboratories Ltd.,IPCALAB,524494
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,506943
J.K. Cement Ltd.,JKCEMENT,532644
JBM Auto Ltd.,JBMA,532605
JK Tyre & Industries Ltd.,JKTYRE,530007
JM Financial Ltd.,JMFINANCIL,523405
JSW Energy Ltd.,JSWENERGY,533148
JSW Holdings Ltd.,JSWHL,532642
JSW Infrastructure Ltd.,JSWINFRA,543994
JSW Steel Ltd.,JSWSTEEL,500228
Jaiprakash Power Ventures Ltd.,JPPOWER,532627
Jammu & Kashmir Bank Ltd.,J&KBANK,532209
Jindal Saw Ltd.,JINDALSAW,500378
Jindal Stainless Ltd.,JSL,532508
Jindal Steel Ltd.,JINDALSTEL,532286
Jio Financial Services Ltd.,JIOFIN,543940
Jubilant Foodworks Ltd.,JUBLFOOD,533155
Jubilant Ingrevia Ltd.,JUBLINGREA,543271
Jubilant Pharmova Ltd.,JUBLPHARMA,530019
Jupiter Wagons Ltd.,JWL,533272
Justdial Ltd.,JUSTDIAL,535648
Jyothy Labs Ltd.,JYOTHYLAB,532926
Jyoti CNC Automation Ltd.,JYOTICNC,544081
K.P.R. Mill Ltd.,KPRMILL,532889
KEI Industries Ltd.,KEI,517569
KNR Constructions Ltd.,KNRCON,532942
KPIT Technologies Ltd.,KPITTECH,542651
Kajaria Ceramics Ltd.,KAJARIACER,500233
Kalpataru Projects International Ltd.,KPIL,522287
Kalyan Jewellers India Ltd.,KALYANKJIL,543278
Kansai Nerolac Paints Ltd.,KANSAINER,500165
Karur Vysya Bank Ltd.,KARURVYSYA,590003
Kaynes Technology India Ltd.,KAYNES,543664
Kec International Ltd.,KEC,532714
Kfin Technologies Ltd.,KFINTECH,543720
Kirloskar Brothers Ltd.,KIRLOSBROS,500241
Kirloskar Oil Eng Ltd.,KIRLOSENG,533293
Kirloskar Oil Eng Ltd.,KIRLOSENG,534026
Kotak Mahindra Bank Ltd.,KOTAKBANK,500247
Krishna Institute of Medical Sciences Ltd.,KIMS,543308
L&T Finance Ltd.,LTF,533519
L&T Technology Services Ltd.,LTTS,540115
LIC Housing Finance Ltd.,LICHSGFIN,500253
LT Foods Ltd.,LTFOODS,532783
LTIMindtree Ltd.,LTIM,540005
Larsen & Toubro Ltd.,LT,500510
Latent View Analytics Ltd.,LATENTVIEW,543398
Laurus Labs Ltd.,LAURUSLABS,540222
Lemon Tree Hotels Ltd.,LEMONTREE,541233
Life Insurance Corporation of India,LICI,543526
Linde India Ltd.,LINDEINDIA,523457
Lloyds Metals And Energy Ltd.,LLOYDSME,512455
Lodha Developers Ltd.,LODHA,543287
Lupin Ltd.,LUPIN,500257
MMTC Ltd.,MMTC,513377
MRF Ltd.,MRF,500290
Mahanagar Gas Ltd.,MGL,539957
Maharashtra Seamless Ltd.,MAHSEAMLES,500265
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,532720
Mahindra & Mahindra Ltd.,M&M,500520
Manappuram Finance Ltd.,MANAPPURAM,531213
Mangalore Refinery & Petrochemicals Ltd.,MRPL,500109
Mankind Pharma Ltd.,MANKIND,543904
Marico Ltd.,MARICO,531642
Maruti Suzuki India Ltd.,MARUTI,532500
Mastek Ltd.,MASTEK,523704
Max Financial Services Ltd.,MFSL,500271
Max Healthcare Institute Ltd.,MAXHEALTH,543220
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,543237
Metropolis Healthcare Ltd.,METROPOLIS,542650
Minda Corporation Ltd.,MINDACORP,538962
Motherson Sumi Wiring India Ltd.,MSUMI,543498
Motilal Oswal Financial Services Ltd.,MOTILALOFS,532892
MphasiS Ltd.,MPHASIS,526299
Multi Commodity Exchange of India Ltd.,MCX,534091
Muthoot Finance Ltd.,MUTHOOTFIN,533398
NATCO Pharma Ltd.,NATCOPHARM,524816
NBCC (India) Ltd.,NBCC,534309
NCC Ltd.,NCC,500294
NHPC Ltd.,NHPC,533098
NLC India Ltd.,NLCINDIA,513683
NMDC Ltd.,NMDC,526371
NMDC Steel Ltd.,NSLNISP,543768
NTPC Green Energy Ltd.,NTPCGREEN,544289
NTPC Ltd.,NTPC,532555
Narayana Hrudayalaya Ltd.,NH,539551
National Aluminium Co. Ltd.,NATIONALUM,532234
Nava Ltd.,NAVA,513023
Navin Fluorine International Ltd.,NAVINFLUOR,532504
Nestle India Ltd.,NESTLEIND,500790
Netweb Technologies India Ltd.,NETWEB,543945
Network18 Media & Investments Ltd.,NETWORK18,532798
Neuland Laboratories Ltd.,NEULANDLAB,524558
Newgen Software Technologies Ltd.,NEWGEN,540900
Nippon Life India Asset Management Ltd.,NAM-INDIA,540767
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,544286
Nuvama Wealth Management Ltd.,NUVAMA,543988
Oberoi Realty Ltd.,OBEROIRLTY,533273
Oil & Natural Gas Corporation Ltd.,ONGC,500312
Oil India Ltd.,OIL,533106
Ola Electric Mobility Ltd.,OLAELEC,544225
Olectra Greentech Ltd.,OLECTRA,532439
One 97 Communications Ltd.,PAYTM,543396
Oracle Financial Services Software Ltd.,OFSS,532466
PB Fintech Ltd.,POLICYBZR,543390
PCBL Chemical Ltd.,PCBL,506590
PG Electroplast Ltd.,PGEL,533581
PI Industries Ltd.,PIIND,523642
PNB Housing Finance Ltd.,PNBHOUSING,540173
PNC Infratech Ltd.,PNCINFRA,539150
PTC Industries Ltd.,PTCIL,539006
PVR INOX Ltd.,PVRINOX,532689
Page Industries Ltd.,PAGEIND,532827
Patanjali Foods Ltd.,PATANJALI,500368
Persistent Systems Ltd.,PERSISTENT,533179
Petronet LNG Ltd.,PETRONET,532522
Pfizer Ltd.,PFIZER,500680
Phoenix Mills Ltd.,PHOENIXLTD,503100
Pidilite Industries Ltd.,PIDILITIND,500331
Piramal Enterprises Ltd.,PEL,500302
Piramal Pharma Ltd.,PPLPHARMA,543635
Poly Medicure Ltd.,POLYMED,531768
Polycab India Ltd.,POLYCAB,542652
Poonawalla Fincorp Ltd.,POONAWALLA,524000
Power Finance Corporation Ltd.,PFC,532810
Power Grid Corporation of India Ltd.,POWERGRID,532898
Praj Industries Ltd.,PRAJIND,522205
Premier Energies Ltd.,PREMIERENE,544238
Prestige Estates Projects Ltd.,PRESTIGE,533274
Punjab National Bank,PNB,532461
R R Kabel Ltd.,RRKABEL,543981
RBL Bank Ltd.,RBLBANK,540065
REC Ltd.,RECLTD,532955
RHI MAGNESITA INDIA LTD.,RHIM,534076
RITES Ltd.,RITES,541556
Radico Khaitan Ltd,RADICO,532497
Rail Vikas Nigam Ltd.,RVNL,542649
Railtel Corporation Of India Ltd.,RAILTEL,543265
Rainbow Childrens Medicare Ltd.,RAINBOW,543524
Ramkrishna Forgings Ltd.,RKFORGE,532527
Rashtriya Chemicals & Fertilizers Ltd.,RCF,524230
RattanIndia Enterprises Ltd.,RTNINDIA,534597
Raymond Lifestyle Ltd.,RAYMONDLSL,544240
Raymond Ltd.,RAYMOND,500330
Redington Ltd.,REDINGTON,532805
Reliance Industries Ltd.,RELIANCE,500325
Reliance Industries Ltd.,RELIANCE,532611
Reliance Power Ltd.,RPOWER,532939
Route Mobile Ltd.,ROUTE,543228
SBFC Finance Ltd.,SBFC,543959
SBI Cards and Payment Services Ltd.,SBICARD,543066
SBI Life Insurance Company Ltd.,SBILIFE,540719
SJVN Ltd.,SJVN,533206
SKF India Ltd.,SKFINDIA,500472
SRF Ltd.,SRF,503806
Sagility India Ltd.,SAGILITY,544282
Sai Life Sciences Ltd.,SAILIFE,544306
Sammaan Capital Ltd.,SAMMAANCAP,535789
Samvardhana Motherson International Ltd.,MOTHERSON,517334
Sapphire Foods India Ltd.,SAPPHIRE,543397
Sarda Energy and Minerals Ltd.,SARDAEN,504614
Saregama India Ltd,SAREGAMA,532163
Schaeffler India Ltd.,SCHAEFFLER,505790
Schneider Electric Infrastructure Ltd.,SCHNEIDER,534139
Shipping Corporation of India Ltd.,SCI,523598
Shree Cement Ltd.,SHREECEM,500387
Shree Renuka Sugars Ltd.,RENUKA,532670
Shriram Finance Ltd.,SHRIRAMFIN,511218
Shyam Metalics and Energy Ltd.,SHYAMMETL,543299
Siemens Ltd.,SIEMENS,500550
Signatureglobal (India) Ltd.,SIGNATURE,543990
Sobha Ltd.,SOBHA,532784
Solar Industries India Ltd.,SOLARINDS,532725
Sona BLW Precision Forgings Ltd.,SONACOMS,543300
Sonata Software Ltd.,SONATSOFTW,532221
Star Health and Allied Insurance Company Ltd.,STARHEALTH,543412
State Bank of India,SBIN,500112
Steel Authority of India Ltd.,SAIL,500113
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,542760
Sumitomo Chemical India Ltd.,SUMICHEM,542920
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,524715
Sun TV Network Ltd.,SUNTV,532733
Sundaram Finance Ltd.,SUNDARMFIN,590071
Sundram Fasteners Ltd.,SUNDRMFAST,500403
Supreme Industries Ltd.,SUPREMEIND,509930
Suzlon Energy Ltd.,SUZLON,532667
Swan Corp Ltd.,SWANCORP,503310
Swiggy Ltd.,SWIGGY,544285
Syngene International Ltd.,SYNGENE,539268
Syrma SGS Technology Ltd.,SYRMA,543573
TBO Tek Ltd.,TBOTEK,544174
TVS Motor Company Ltd.,TVSMOTOR,532343
Tanla Platforms Ltd.,TANLA,532790
Tata Chemicals Ltd.,TATACHEM,500770
Tata Communications Ltd.,TATACOMM,500483
Tata Consultancy Services Ltd.,TCS,532540
Tata Consumer Products Ltd.,TATACONSUM,500800
Tata Elxsi Ltd.,TATAELXSI,500408
Tata Investment Corporation Ltd.,TATAINVEST,501301
Tata Motors Ltd.,TATAMOTORS,500570
Tata Power Co. Ltd.,TATAPOWER,500400
Tata Steel Ltd.,TATASTEEL,500470
Tata Technologies Ltd.,TATATECH,544028
Tata Teleservices (Maharashtra) Ltd.,TTML,532371
Tech Mahindra Ltd.,TECHM,532755
Techno Electric & Engineering Company Ltd.,TECHNOE,542141
Tejas Networks Ltd.,TEJASNET,540595
The New India Assurance Company Ltd.,NIACL,540769
The Ramco Cements Ltd.,RAMCOCEM,500260
Thermax Ltd.,THERMAX,500411
Timken India Ltd.,TIMKEN,522113
Titagarh Rail Systems Ltd.,TITAGARH,532966
Titan Company Ltd.,TITAN,500114
Torrent Pharmaceuticals Ltd.,TORNTPHARM,500420
Torrent Power Ltd.,TORNTPOWER,532779
Transformers And Rectifiers (India) Ltd.,TARIL,532928
Trent Ltd.,TRENT,500251
Trident Ltd.,TRIDENT,521064
Triveni Engineering & Industries Ltd.,TRIVENI,532356
Triveni Turbine Ltd.,TRITURBINE,533655
Tube Investments of India Ltd.,TIINDIA,540762
UCO Bank,UCOBANK,532505
UNO Minda Ltd.,UNOMINDA,532539
UPL Ltd.,UPL,512070
UPL Ltd.,UPL,534401
UTI Asset Management Company Ltd.,UTIAMC,543238
UltraTech Cement Ltd.,ULTRACEMCO,532538
Union Bank of India,UNIONBANK,532477
United Breweries Ltd.,UBL,532478
United Spirits Ltd.,UNITDSPR,532432
Usha Martin Ltd.,USHAMART,517146
V-Guard Industries Ltd.,VGUARD,532953
Valor Estate Ltd.,DBREALTY,533160
Vardhman Textiles Ltd.,VTL,502986
Varun Beverages Ltd.,VBL,540180
Vedant Fashions Ltd.,MANYAVAR,543463
Vedanta Ltd.,VEDL,500295
Vijaya Diagnostic Centre Ltd.,VIJAYA,543350
Vishal Mega Mart Ltd.,VMM,544307
Vodafone Idea Ltd.,IDEA,532822
Voltas Ltd.,VOLTAS,500575
Waaree Energies Ltd.,WAAREEENER,544277
Welspun Corp Ltd.,WELCORP,532144
Welspun Living Ltd.,WELSPUNLIV,514162
Westlife Foodworld Ltd.,WESTLIFE,505533
Whirlpool of India Ltd.,WHIRLPOOL,500238
Wipro Ltd.,WIPRO,507685
Wockhardt Ltd.,WOCKPHARMA,532300
Yes Bank Ltd.,YESBANK,532648
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,533023
Zee Entertainment Enterprises Ltd.,ZEEL,505537
Zen Technologies Ltd.,ZENTEC,533339
Zensar Technolgies Ltd.,ZENSARTECH,504067
Zydus Lifesciences Ltd.,ZYDUSLIFE,532321
eClerx Services Ltd.,ECLERX,532927
